date,symbol,close,change,change_rate,open,high,low,volume,trade_value
2020-04-02,KAU19,40050,50,0.13,40450,40450,40050,17700,712385000
2020-04-03,KAU19,40050,0,0,0,0,0,0,0
2020-04-06,KAU19,40150,100,0.25,40500,40500,40100,10000,403849700
2020-04-07,KAU19,40250,100,0.25,40250,40300,40250,8430,339557500
2020-04-08,KAU19,40500,250,0.62,40250,40500,40250,7000,283000000
2020-04-09,KAU19,40500,0,0,40500,40500,40100,36000,1457600000
2020-04-10,KAU19,40500,0,0,40500,40500,40500,13000,526500000
2020-04-13,KAU19,40500,0,0,40500,40500,40450,57500,2328425000
2020-04-14,KAU19,40500,0,0,40500,40500,40500,54194,2194857000
2020-04-16,KAU19,40450,-50,-0.12,40500,40500,40450,33500,1356275000
2020-04-17,KAU19,40500,50,0.12,40450,40500,40450,50800,2056850000
2020-04-20,KAU19,40500,0,0,40500,40550,40500,69548,2816709000
2020-04-21,KAU19,40500,0,0,40500,40600,40500,30000,1215300000
2020-04-22,KAU19,40150,-350,-0.86,40500,40550,40100,50000,2023050000
2020-04-23,KAU19,40100,-50,-0.12,40150,40200,40100,13126,527208900
2020-04-24,KAU19,40050,-50,-0.12,40050,40100,40050,86875,3493483750
2020-04-27,KAU19,40000,-50,-0.12,40050,40050,40000,41000,1640850000
2020-04-28,KAU19,39950,-50,-0.13,40000,40000,39950,307307,12290264650
2020-04-29,KAU19,39500,-450,-1.13,39900,39900,39500,262154,10454495700
2020-05-04,KAU19,39000,-500,-1.27,39200,39200,39000,2600,101860000
2020-05-06,KAU19,38500,-500,-1.28,38500,38500,38500,5200,200200000
2020-05-07,KAU19,38300,-200,-0.52,38500,38500,38000,68000,2596170000
2020-05-08,KAU19,38150,-150,-0.39,38300,38300,38100,48933,1870743900
2020-05-11,KAU19,37000,-1150,-3.01,37950,37950,37000,23100,867290000
2020-05-12,KAU19,33950,-3050,-8.24,36500,36500,33950,75990,2653589000
2020-05-13,KAU19,30700,-3250,-9.57,33000,33000,30700,96100,3033850000
2020-05-14,KAU19,31400,700,2.28,31000,31400,31000,46500,1449900000
2020-05-15,KAU19,31500,100,0.32,31400,31500,31300,53000,1664200000
2020-05-18,KAU19,32550,1050,3.33,32000,32550,32000,58700,1904930000
2020-05-19,KAU19,33150,600,1.84,33000,33300,33000,165400,5325010000
2020-05-20,KAU19,33700,550,1.66,33200,33700,33200,53601,1795158700
2020-05-21,KAU19,35850,2150,6.38,34000,36000,34000,27500,962644000
2020-05-22,KAU19,36200,350,0.98,35600,36700,35600,40000,1437700000
2020-05-25,KAU19,36200,0,0,36000,36350,36000,70042,2536322500
2020-05-26,KAU19,36200,0,0,36200,36200,36200,59491,2153574200
2020-05-27,KAU19,34850,-1350,-3.73,36000,36000,34500,441756,15604710000
2020-05-28,KAU19,34400,-450,-1.29,34900,34900,34050,74000,2558225000
2020-05-29,KAU19,34200,-200,-0.58,34300,34300,34150,30569,1045659800
2020-06-01,KAU19,33800,-400,-1.17,34000,34000,33800,30800,1043390000
2020-06-02,KAU19,32300,-1500,-4.44,33900,33900,31700,39000,1275494200
2020-06-03,KAU19,31800,-500,-1.55,32300,32300,31650,54550,1740090000
2020-06-04,KAU19,31400,-400,-1.26,31700,31700,31400,81398,2563452200
2020-06-05,KAU19,30400,-1000,-3.18,30500,30500,30100,46550,1408480000
2020-06-08,KAU19,31100,700,2.3,30400,31100,30400,68000,2078800000
2020-06-09,KAU19,31600,500,1.61,31300,31600,31300,47000,1477905000
2020-06-10,KAU19,32000,400,1.27,31600,32000,31600,61860,1973950000
2020-06-11,KAU19,32200,200,0.63,32100,32200,32050,114611,3652143100
2020-06-12,KAU19,31800,-400,-1.24,32200,32200,31800,89964,2892325800
2020-06-15,KAU19,31900,100,0.31,31900,31900,31900,37500,1196250000
2020-06-16,KAU19,31850,-50,-0.16,32000,32000,31850,49111,1566252000
2020-06-17,KAU19,31800,-50,-0.16,31850,31850,31800,51400,1635120000
2020-06-18,KAU19,31800,0,0,31800,31800,31750,116434,3705401200
2020-06-19,KAU19,31300,-500,-1.57,31500,31600,31200,180000,5693450000
2020-06-22,KAU19,31300,0,0,31300,31300,31250,48500,1517650000
2020-06-23,KAU19,31100,-200,-0.64,31300,31300,31000,45185,1405210000
2020-06-24,KAU19,30800,-300,-0.96,30800,30800,30700,227365,7067202000
2020-06-25,KAU19,30800,0,0,30800,30800,30700,110664,3406421600
2020-06-26,KAU19,30800,0,0,31000,31000,30650,350988,10810776750
2020-06-29,KAU19,30800,0,0,30800,30800,30800,76400,2353120000
2020-06-30,KAU19,30800,0,0,30800,30800,30800,103892,3199873600
2020-07-01,KAU19,30800,0,0,30800,30800,30800,205000,6314000000
2020-07-02,KAU19,30750,-50,-0.16,30800,30800,30750,237999,7329219200
2020-07-03,KAU19,29950,-800,-2.6,29900,30200,29900,53689,1609101100
2020-07-06,KAU19,29700,-250,-0.83,29950,29950,29700,62523,1866790500
2020-07-07,KAU19,28900,-800,-2.69,29700,29700,28900,59089,1736547600
2020-07-08,KAU19,27900,-1000,-3.46,28000,28600,27900,93895,2756010000
2020-07-09,KAU19,25150,-2750,-9.86,27750,27750,25150,68624,1773336150
2020-07-10,KAU19,22650,-2500,-9.94,24500,24500,22650,107732,2476590350
2020-07-13,KAU19,20400,-2250,-9.93,22600,22600,20400,138936,2839134400
2020-07-14,KAU19,20600,200,0.98,19800,20600,19500,90745,1822212850
2020-07-15,KAU19,21800,1200,5.83,20700,22650,20700,268953,5682677550
2020-07-16,KAU19,22800,1000,4.59,21200,23000,21200,100350,2226480200
2020-07-17,KAU19,23200,400,1.75,22800,23800,22800,262244,5810477800
2020-07-20,KAU19,23200,0,0,23200,24200,23150,44018,1025542850
2020-07-21,KAU19,23000,-200,-0.86,23200,23800,23000,61000,1416700000
2020-07-22,KAU19,22800,-200,-0.87,23000,23000,22500,44898,1030202000
2020-07-23,KAU19,22800,0,0,22800,22800,22500,61999,1411327200
2020-07-24,KAU19,22500,-300,-1.32,22650,22700,22500,20176,456470200
2020-07-27,KAU19,22000,-500,-2.22,22500,22500,21500,27676,614583900
2020-07-28,KAU19,21700,-300,-1.36,21500,22250,21000,51500,1127050000
2020-07-29,KAU19,21000,-700,-3.23,21500,21500,20900,62788,1337348200
2020-07-30,KAU19,19900,-1100,-5.24,20900,20900,19900,63520,1273294000
2020-07-31,KAU19,19250,-650,-3.27,19550,19550,18500,50905,974365000
2020-08-03,KAU19,17500,-1750,-9.09,18500,18500,17500,17993,322967500
2020-08-04,KAU19,15750,-1750,-10,17000,17000,15750,61759,979391750
2020-08-05,KAU19,15000,-750,-4.76,14200,15000,14200,28360,406362000
2020-08-06,KAU19,15500,500,3.33,15000,15500,15000,7449,114226200
