record_type,order,sector,industry,2026-07_sell,2026-07_buy,2026-06_sell,2026-06_buy,2026-05_sell,2026-05_buy,2026-04_sell,2026-04_buy,2026-03_sell,2026-03_buy,2026-02_sell,2026-02_buy,2026-01_sell,2026-01_buy,2025-12_sell,2025-12_buy,2025-11_sell,2025-11_buy,2025-10_sell,2025-10_buy,2025-09_sell,2025-09_buy,2025-08_sell,2025-08_buy,2025-07_sell,2025-07_buy,2025-06_sell,2025-06_buy,2025-05_sell,2025-05_buy,2025-04_sell,2025-04_buy,2025-03_sell,2025-03_buy,2025-02_sell,2025-02_buy,2025-01_sell,2025-01_buy,2024-12_sell,2024-12_buy,2024-11_sell,2024-11_buy,2024-10_sell,2024-10_buy,2024-09_sell,2024-09_buy,2024-08_sell,2024-08_buy,2024-07_sell,2024-07_buy,2024-06_sell,2024-06_buy,2024-05_sell,2024-05_buy,2024-04_sell,2024-04_buy,2024-03_sell,2024-03_buy,2024-02_sell,2024-02_buy,2024-01_sell,2024-01_buy,2023-12_sell,2023-12_buy,2023-11_sell,2023-11_buy,2023-10_sell,2023-10_buy,2023-09_sell,2023-09_buy,2023-08_sell,2023-08_buy,2023-07_sell,2023-07_buy,2023-06_sell,2023-06_buy,2023-05_sell,2023-05_buy,2023-04_sell,2023-04_buy,2023-03_sell,2023-03_buy,2023-02_sell,2023-02_buy,2023-01_sell,2023-01_buy,2022-12_sell,2022-12_buy,2022-11_sell,2022-11_buy,2022-10_sell,2022-10_buy,2022-09_sell,2022-09_buy,2022-08_sell,2022-08_buy
industry,57,건물,기타 운송관련 서비스업,0,508,8520,11854,0,6899,0,42355,0,6047,0,2880,0,0,0,4850,0,31800,0,4800,0,0,0,0,0,0,1407,28302,0,4764,0,0,0,4683,0,0,0,0,0,18000,0,0,0,0,0,0,0,110,4204,0,0,3568,2803,4590,0,0,0,4730,0,0,0,0,0,10000,0,0,0,0,0,0,9609,4000,0,0,0,4211,10000,7468,0,4000,0,8000,0,0,0,0,0,2200,0,2900,0,2300,0,0,0,0
industry,58,건물,일반 및 생활 숙박시설 운영업,0,7440,0,166,0,2668,0,7750,0,0,0,5400,0,0,0,0,0,0,0,0,0,0,0,7704,0,4843,0,1504,0,0,0,28000,0,0,0,6000,0,0,0,0,0,0,0,0,0,0,0,22031,1259,0,0,1125,0,1500,0,5250,0,0,0,0,0,0,0,6200,0,0,0,0,0,0,4296,32850,0,0,0,369,0,0,0,3011,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,0
industry,59,건물,부동산 임대 및 공급업,500,1030,4306,0,0,0,1941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,848,9491,0,7290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1790,171,31,2236,0,3479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2700,0,0,3532,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
industry,60,건물,고등 교육기관,0,38470,0,22286,0,8000,0,2000,0,30000,0,0,0,0,0,0,0,0,0,0,0,30000,41,44979,0,38353,0,4593,0,0,0,0,0,0,0,0,0,0,0,12050,0,20000,0,0,0,0,390,27686,644,23452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1052,22037,289,8031,4227,8103,0,1200,0,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,1273,0
industry,61,건물,병원,0,0,0,8358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10708,0,8069,0,3765,0,0,0,3710,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,156,10179,0,6107,17,0,0,0,194,0,0,9500,0,0,0,0,0,0,0,0,0,0,0,0,829,2842,0,9518,0,3816,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1421,0
industry,62,건물,유원지 및 기타 오락관련 서비스업,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3510,0,9700,0,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1880,1810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
industry,63,건물,자연과학 및 공학 연구개발업,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
industry,64,건물,보관 및 창고업,0,0,0,45623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
industry,65,수송,철도 운송업,7320,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222465,0,0,0,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124139,0,160000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125891,0,0,0,5000,0,0,0,10000,0,57710,0,34000,0,0,0,0,0,0,0,0,0,10600,0,46500,0
industry,66,수송,육상 여객 운송업,61816,6246,36265,15219,79874,32759,9587,18523,24568,6000,11000,0,3496,0,75719,0,29800,0,103600,0,83100,0,85930,4601,68863,7000,29197,10622,63337,0,17819,19711,1000,25500,6000,12000,2300,0,32500,0,126600,0,21459,0,8000,0,70077,46042,105424,0,72252,0,21839,0,11080,8688,500,30000,278547,0,3000,0,67000,0,146968,0,28616,0,21002,0,155248,882,96441,0,31152,0,33884,0,9740,0,8500,0,0,0,0,0,13646,0,9900,0,0,0,0,0,62,2263
industry,67,수송,도로 화물 운송업,3058,0,168,3328,0,10319,0,2500,843,0,5000,0,0,0,0,0,0,0,0,0,0,0,17010,4442,1214,0,0,5145,0,6194,0,1694,0,0,5000,0,0,0,0,0,0,0,3000,0,0,0,1,4430,15235,0,8722,1585,1357,6190,1000,4831,5000,0,0,0,0,0,0,0,0,0,0,0,0,1000,7609,3061,2533,10432,3334,2936,0,6833,0,4614,1000,0,4500,9312,0,0,0,4072,0,0,0,0,0,0,0,0
industry,68,수송,해상 운송업,4181,0,2746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3536,1116,0,0,0,0,0,2838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5233,6269,0,0,0,0,0,0,0,0,4636,0,0,0,0,0,10854,0,0,0,0,0,0,0,10097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1110,0,0,0,0,0
